ZSFH - ZHVI Single-Family Homes Time Series ($): ['city', 'zip', 'metro', 'neigh', 'US', 'county', 'state']
ZCON - ZHVI Condo/Co-op Time Series ($): ['city', 'metro', 'neigh', 'US', 'county', 'state']
ZATT - ZHVI All Homes- Top Tier Time Series ($): ['city', 'metro', 'US', 'county', 'state']
ZALL - ZHVI All Homes (SFR, Condo/Co-op) Time Series ($): ['city', 'zip', 'metro', 'neigh', 'US', 'county', 'state']
ZABT - ZHVI All Homes- Bottom Tier Time Series ($): ['city', 'metro', 'US', 'county', 'state']
Z5BR - ZHVI 5+ Bedroom Time Series ($): ['city', 'zip', 'metro', 'neigh', 'US', 'county', 'state']
Z4BR - ZHVI 4-Bedroom Time Series ($): ['city', 'zip', 'metro', 'neigh', 'US', 'county', 'state']
Z3BR - ZHVI 3-Bedroom Time Series ($): ['city', 'zip', 'metro', 'neigh', 'US', 'county', 'state']
Z2BR - ZHVI 2-Bedroom Time Series ($): ['city', 'zip', 'metro', 'neigh', 'US', 'county', 'state']
Z1BR - ZHVI 1-Bedroom Time Series ($): ['city', 'zip', 'metro', 'neigh', 'US', 'county', 'state']
SSSW - Median Sale Price (Smooth, SFR only, Weekly View): ['metro', 'US']
SSSM - Median Sale Price (Smooth, SFR only, Monthly): ['metro', 'US']
SSAW - Median Sale Price (Smooth, All Homes, Weekly View): ['metro', 'US']
SSAM - Median Sale Price (Smooth, All Homes, Monthly): ['metro', 'US']
SRSW - Median Sale Price (Raw, SFR only, Weekly View): ['metro', 'US']
SRSM - Median Sale Price (Raw, SFR only, Monthly): ['metro', 'US']
SRAW - Median Sale Price (Raw, All Homes, Weekly View): ['metro', 'US']
SRAM - Median Sale Price (Raw, All Homes, Monthly): ['metro', 'US']
SASW - Median Sale Price (Smooth & Seasonally Adjusted, SFR only, Weekly View): ['metro', 'US']
SASM - Median Sale Price (Smooth & Seasonally Adjusted, SFR only, Monthly): ['metro', 'US']
SAAW - Median Sale Price (Smooth & Seasonally Adjusted, All Homes, Weekly View): ['metro', 'US']
SAAM - Median Sale Price (Smooth & Seasonally Adjusted, All Homes, Monthly): ['metro', 'US']
RSSA - ZORI (Smoothed, Seasonally Adjusted): All Homes Plus Multifamily Time Series ($): ['zip', 'metro', 'US']
RSNA - ZORI (Smoothed): All Homes Plus Multifamily Time Series ($): ['zip', 'metro', 'US']
NSAW - Median Days to Pending (Smooth, All Homes, Weekly View): ['metro', 'US']
NSAM - Median Days to Pending (Smooth, All Homes, Monthly): ['metro', 'US']
NRAW - Median Days to Pending (Raw, All Homes, Weekly View): ['metro', 'US']
NRAM - Median Days to Pending (Raw, All Homes, Monthly): ['metro', 'US']
MSAW - Mean Days to Pending (Smooth, All Homes, Weekly View): ['metro', 'US']
MSAM - Mean Days to Pending (Smooth, All Homes, Monthly): ['metro', 'US']
MRAW - Mean Days to Pending (Raw, All Homes, Weekly View) : ['metro', 'US']
MRAM - Mean Days to Pending (Raw, All Homes, Monthly): ['metro', 'US']
LSSW - Median List Price (Smooth, SFR Only, Weekly View): ['metro', 'US']
LSSM - Median List Price (Smooth, SFR Only, Monthly): ['metro', 'US']
LSAW - Median List Price (Smooth, All Homes, Weekly View): ['metro', 'US']
LSAM - Median List Price (Smooth, All Homes, Monthly): ['metro', 'US']
LRSW - Median List Price (Raw, SFR Only, Weekly View): ['metro', 'US']
LRSM - Median List Price (Raw, SFR Only, Monthly): ['metro', 'US']
LRAW - Median List Price (Raw, All Homes, Weekly View): ['metro', 'US']
LRAM - Median List Price (Raw, All Homes, Monthly): ['metro', 'US']
ISSW - For-Sale Inventory (Smooth, SFR only, Weekly View): ['metro', 'US']
ISSM - For-Sale Inventory (Smooth, SFR only, Monthly): ['metro', 'US']
ISAW - For-Sale Inventory (Smooth, All Homes, Weekly View): ['metro', 'US']
ISAM - For-Sale Inventory (Smooth, All Homes, Monthly): ['metro', 'US']
IRSW - For-sale Inventory (Raw, SFR only, Weekly View): ['metro', 'US']
IRSM - For-sale Inventory (Raw, SFR only, Monthly): ['metro', 'US']
IRAW - For-Sale Inventory (Raw, All Homes, Weekly View): ['metro', 'US']
IRAM - For-Sale Inventory (Raw, All Homes, Monthly): ['metro', 'US']
CSSW - Share of Listings With a Price Cut (Smooth, SFR Only, Weekly View): ['metro', 'US']
CSSM - Share of Listings With a Price Cut (Smooth, SFR Only, Monthly): ['metro', 'US']
CSAW - Share of Listings With a Price Cut (Smooth, All Homes, Weekly View): ['metro', 'US']
CSAM - Share of Listings With a Price Cut (Smooth, All Homes, Monthly): ['metro', 'US']
CRSW - Share of Listings With a Price Cut (Raw, SFR Only, Weekly View): ['metro', 'US']
CRSM - Share of Listings With a Price Cut (Raw, SFR Only, Monthly): ['metro', 'US']
CRAW - Share of Listings With a Price Cut (Raw, All Homes, Weekly View): ['metro', 'US']
CRAM - Share of Listings With a Price Cut (Raw, All Homes, Monthly): ['metro', 'US']
